sub.num,experiment,block.order,test.order,block.type,trial.type,looking
9,older,complete.first,sad.first,complete,happy,0.8276270910985192
9,older,complete.first,sad.first,complete,sad,1.1028524158519293
9,older,complete.first,sad.first,failed,happy,0.6812541511270236
9,older,complete.first,sad.first,failed,sad,0.9060406322900336
10,older,failed.first,sad.first,failed,happy,0.8193832520723494
10,older,failed.first,sad.first,failed,sad,0.6034888564204987
10,older,failed.first,sad.first,complete,happy,0.6933524832629382
10,older,failed.first,sad.first,complete,sad,0.7934406843373776
11,older,complete.first,happy.first,complete,happy,1.1328855365220685
11,older,complete.first,happy.first,complete,sad,0.9054237378700147
11,older,complete.first,happy.first,failed,happy,0.9120159304746926
11,older,complete.first,happy.first,failed,sad,0.8631016419414179
13,older,failed.first,happy.first,failed,happy,0.7526763587997208
13,older,failed.first,happy.first,failed,sad,0.999755973311889
13,older,failed.first,happy.first,complete,happy,0.6763021758442822
13,older,failed.first,happy.first,complete,sad,0.7422236282465984
14,older,complete.first,sad.first,complete,happy,0.9301513926231919
14,older,complete.first,sad.first,complete,sad,1.0646057936888766
14,older,complete.first,sad.first,failed,happy,0.7622613691401798
14,older,complete.first,sad.first,failed,sad,0.5461391004902941
15,older,failed.first,sad.first,failed,happy,1.0058392348905798
15,older,failed.first,sad.first,failed,sad,1.0912235646137578
15,older,failed.first,sad.first,complete,happy,0.7460454577466411
15,older,failed.first,sad.first,complete,sad,0.7113474499193553
16,older,complete.first,happy.first,complete,happy,0.7745929467856449
16,older,complete.first,happy.first,complete,sad,0.8366402395819792
16,older,complete.first,happy.first,failed,happy,0.4263413130076987
16,older,complete.first,happy.first,failed,sad,0.6033999394166494
17,older,failed.first,happy.first,failed,happy,0.2977613497571213
17,older,failed.first,happy.first,failed,sad,0.4259044005751749
17,older,failed.first,happy.first,complete,happy,0.40396981851527786
17,older,failed.first,happy.first,complete,sad,0.6752856234359346
18,older,complete.first,sad.first,complete,happy,1.0161716658270843
18,older,complete.first,sad.first,complete,sad,1.4429145658273304
18,older,complete.first,sad.first,failed,happy,0.7831195757056002
18,older,complete.first,sad.first,failed,sad,0.8830050148583002
19,older,failed.first,sad.first,failed,happy,0.9197813431490257
19,older,failed.first,sad.first,failed,sad,1.0953387394350662
19,older,failed.first,sad.first,complete,happy,0.6581821550389181
