N,Site,Tester,Excluded,reason_Excluded,Vid_or_audio,Age,More_sources,Choice,Correct,Explanation,Rosie_explanation_code,Sami_explanation_code,Final_explanation_code,explanation_mentioned_number,which_numbers,Comments
37,TheChildLab_online,MM,,,audio,5.368925394,Blue,Blue,1,Because it wanted to poop,Other,Other,Other,,,"there were issues with the study showing up for the first 2 mins, but eventually it resolved"
38,TheChildLab_online,MM,,,audio,7.126625599,Blue,Blue,1,Because it has more people on the outside,More,More,More,,,n/a
39,NewHaven_Museum,RA,,,video,4.281998631,Blue,Blue,1,n/a,N/A,N/A,N/A,,,n/a
40,NewHaven_Museum,RA,,,video,6.614647502,Blue,Blue,1,Because three people did,More,More,More,yes,3,n/a
41,NewHaven_Museum,RA,,,video,6.858316222,Green,Green,1,Anyways I guessed it right. Because green means go,Other,Other,Other,,,n/a
42,NewHaven_Museum,RA,,,"video, but video lost",5.618069815,Green,Green,1,Because all of the kids on the green side said they saw him through the green door,More,Other,Other,,,n/a
43,NewHaven_Museum,RA,,,"video, but video lost",5.204654346,Blue,Green,0,I don't know,N/A,N/A,N/A,,,n/a
44,NewHaven_Museum,RA,,,"video, but video lost",7.392197125,Blue,Blue,1,Because 3 kids are the blue door and one kid is on the green door,More,More,More,yes,"1, 3",n/a
45,NewHaven_Museum,RA,,,NONE,7.770020534,Green,Blue,0,Because all these (blue) are just pointing to one person - they all (green) heard it from different people,More,More,More,yes,1,n/a
46,NewHaven_Museum,RA,,,NONE,4.377823409,Green,Blue,0,Because maybe it hided,Other,Other,Other,,,n/a
47,NewHaven_Museum,RA,,,"video, but video lost",7.323750856,Blue,Blue,1,"Because there are three people that said it, and for the green door, there's only one person that said it",More,More,More,yes,"1, 3",n/a
48,NewHaven_Museum,RA,,,video,7.857631759,Green,Green,1,Because there are more people,More,More,More,,,n/a
49,NewHaven_Museum,RA,,,video,4.906228611,Blue,Blue,1,Because he was kinda looking that way to the blue door,Other,Other,Other,,,n/a
50,NewHaven_Museum,RA,,,video,7.118412047,Blue,Blue,1,Because blue is my favorite color,Other,Other,Other,,,n/a
51,NewHaven_Museum,RA,,,video,4.476386037,Green,Blue,0,n/a,N/A,N/A,N/A,,,n/a
52,NewHaven_Museum,RA,,,video,5.117043121,Green,Blue,0,I don't know,N/A,N/A,N/A,,,n/a
53,NewHaven_Museum,RA,,,video,6.116358658,Blue,Blue,1,Because only one said they saw it through the green door and 3 said they saw it through the blue door,More,More,More,yes,"1, 3",n/a
54,NewHaven_Museum,RA,,,video,4.637919233,Green,Blue,0,n/a,N/A,N/A,N/A,,,n/a
55,NewHaven_Museum,RA,,,video,6.847364819,Green,Green,1,"Because there's only one person [single primary source on the blue side] and all of them think it. And then [pointing at 3 primary sources on green side] one person there, one person there, and one person there. So there's like 6 people believing there [on the green side] and only like 4 people believing there [on the blue side]",More,Less,More,yes,"1, 6, 4",n/a
56,NewHaven_Museum,RA,,,video,4.93908282,Blue,Blue,1,I don't know (parents prompted) because it's my favorite color,Other,Other,Other,,,n/a
57,NewHaven_Museum,RA,,,NONE,7.879534565,Green,Green,1,Because more people said they were on the green door,More,More,More,,,n/a
58,NewHaven_Museum,RA,,,NONE,5.716632444,Green,Green,1,Because one person for every one,More,Other,More,yes,1,n/a
59,NewHaven_Museum,RA,,,video,7.44421629,Blue,Blue,1,I don't know [prompted] because it was closer,Other,Other,Other,,,n/a
60,TheChildLab_online,MM,,,audio,7.137577002,Green,Green,1,I don't know,N/A,N/A,N/A,,,n/a
61,TheChildLab_online,ER,,,audio,6.729637235,Blue,Blue,1,Because there's three people,More,More,More,yes,3,n/a
62,TheChildLab_online,ER,,,audio,6.395619439,Green,Blue,0,Because there's only one there,Less,Less,Less,yes,1,n/a
63,TheChildLab_online,MM,,,audio,4.065708419,Blue,Blue,1,Because there's three,More,More,More,yes,3,n/a
64,TheChildLab_online,MM,,,audio,4.240930869,Green,Blue,0,Because three ,More,More,More,yes,3,n/a
65,TheChildLab_online,MM,,,audio,7.071868583,Blue,Blue,1,Because there's more kids that saw the hamster,More,More,More,,,n/a
66,TheChildLab_online,MM,,,audio,4.65982204,Blue,Green,0,because I don't know,N/A,N/A,N/A,,,n/a
67,NewHaven_Museum,RA,,,video,7.515400411,Green,Green,1,Because there's more people,More,More,More,,,n/a
68,NewHaven_Museum,RA,,,video,4.002737851,Green,Green,1,Because it ran away,Other,Other,Other,,,n/a
69,NewHaven_Museum,RA,,,video,7.099247091,Green,Blue,0,Because I saw him there,Other,Other,Other,,,n/a
70,NewHaven_Museum,RA,,,video,6.46954141,Blue,Blue,1,Because there's more people that they guessed,More,More,More,,,n/a
71,NewHaven_Museum,RA,,,video,7.23613963,Green,Blue,0,I think that blue is my favorite color,Other,Other,Other,,,n/a
72,NewHaven_Museum,RA,,,video,6.305270363,Green,Green,1,Because there's 3 people that said it,More,More,More,yes,3,n/a
73,NewHaven_Museum,RA,,,video,6.376454483,Green,Green,1,Because there's more students saying the green than the blue,More,More,More,,,n/a
74,NewHaven_Museum,RA,,,video,4.878850103,Blue,Blue,1,Because it has more,More,More,More,,,n/a
75,NewHaven_Museum,RA,,,video,5.240246407,Blue,Green,0,Because there's one person,Less,Less,Less,yes,1,"chose blue at first and then said ""wait, maybe the one that's less?"" and changed to green"
76,NewHaven_Museum,RA,,,video,4.052019165,Blue,Blue,1,n/a,N/A,N/A,N/A,,,n/a
77,TheChildLab_online,MM,Yes,CONNECTIVITY/TECHNICAL DIFFICULTIES,audio,6.672142368,Blue,Green,0,Because she said she saw it,Less,Other,Less,,,n/a
78,TheChildLab_online,MS,,,audio,7.014373717,Blue,Blue,1,Because there's more people,More,More,More,,,n/a
79,NewHaven_Museum,RA,,,audio,4.076659822,Green,Blue,0,Because it's Declan's third favorite color,Other,Other,Other,,,n/a
