N,Site,Tester,Excluded,reason_Excluded,Vid_or_audio,Age,More_sources,Choice,Correct,Explanation:,Rosie_explanation_code,Sami_explanation_code,Final_explanation_code,explanation_mentioned_number,which_numbers,Comments
85,NewHaven_Museum,RA,,,video,5.305954825,Green,Green,1,"Because they have this one has more sides, this one [blue] only has one",More,More,More,yes,1,n/a
86,NewHaven_Museum,RA,,,NONE,5.418206708,Blue,Blue,1,I don't know,N/A,N/A,N/A,,,n/a
87,NewHaven_Museum,RA,,,video,5.130732375,Green,Green,1,n/a,N/A,N/A,N/A,,,n/a
88,TheChildLab_online,MM,,,audio,5.902806297,Green,Blue,0,because I don't know,N/A,N/A,N/A,,,n/a
89,TheChildLab_online,MM,,,audio,5.659137577,Blue,Blue,1,n/a,N/A,N/A,N/A,,,n/a
90,TheChildLab_online,MM,,,audio,6.57357974,Blue,Blue,1,Because more people saw,More,More,More,,,n/a
91,NewHaven_Museum,RA,,,audio,4.229979466,Blue,Blue,1,because he ran out then went to the blue door,Other,Other,Other,,,n/a
92,NewHaven_Museum,RA,,,video,4.889801506,Blue,Blue,1,Cuz there's more friends,More,More,More,,,n/a
93,TheChildLab_online,MM,,,audio,5.215605749,Blue,Blue,1,because she said more people,More,More,More,,,n/a
94,TheChildLab_online,MM,,,audio,5.817932923,Green,Green,1,Because there's three people who said it and on the other side there's only one,More,More,More,yes,"1, 3",n/a
95,NewHaven_Museum,RA,,,video,6.40109514,Green,Green,1,Because there's more people on the green door,More,More,More,,,n/a
96,NewHaven_Museum,RA,,,video,6.507871321,Blue,Blue,1,Because there's more people than the green one,More,More,More,,,n/a
97,NewHaven_Museum,RA,,,video,5.77412731,Blue,Blue,1,Because there's 3 people there,More,More,More,yes,3,n/a
98,NewHaven_Museum,RA,,,video,7.019849418,Green,Green,1,its because more people saw it,More,More,More,,,n/a
99,NewHaven_Museum,RA,,,video,6.726899384,Green,Blue,0,n/a,N/A,N/A,N/A,,,Child was extremely distracted
100,NewHaven_Museum,RA,,,video,5.744010951,Blue,Blue,1,Because the only person who did the most got it right,Other,Other,Other,,,n/a
101,TheChildLab_online,MM,,,audio,5.418206708,Blue,Green,0,n/a,N/A,N/A,N/A,,,n/a
102,TheChildLab_online,MM,,,audio,5.924709103,Blue,Blue,1,Because there's 3 students who saw that the hamster went through the blue door,More,More,More,yes,3,n/a
103,TheChildLab_online,MM,,,audio,5.607118412,Green,Green,1,because it has more,More,More,More,,,"gave reason before asked, mom rewarded question"
104,NewHaven_Museum,RA,,,audio,4.470910335,Blue,Blue,1,n/a,N/A,N/A,N/A,,,n/a
105,NewHaven_Museum,RA,,,video,4.829568789,Green,Blue,0,cuz I like blue,Other,Other,Other,,,n/a
106,NewHaven_Museum,RA,,,audio,7.879534565,Blue,Green,0,"because I think that, I don't think it would  I mean, I'm not sure but I think",Other,Other,Other,,,n/a
107,NewHaven_Museum,RA,,,video,7.255304586,Blue,Blue,1,since lots more people said blue,More,More,More,,,n/a
108,NewHaven_Museum,RA,,,audio,5.45927447,Green,Green,1,cuz there's more people,More,More,More,,,n/a
109,NewHaven_Museum,RA,,,NONE,6.357289528,Green,Green,1,because more people are telling her about the green,More,More,More,,,n/a
110,TheChildLab_online,MM,,,audio,6.354551677,Blue,Blue,1,because way more people said it ran through the blue door and the green side just had one,More,More,More,yes,1,n/a
111,NewHaven_Museum,RA,,,video,5.875427789,Green,Green,1,because there's more people,More,More,More,,,n/a
112,NewHaven_Museum,RA,,,video,6.502395619,Blue,Blue,1,Because there's more people,More,More,More,,,n/a
113,NewHaven_Museum,RA,,,video,6.688569473,Blue,Blue,1,because there's only one student there and there's three student who said it ran through the blue door,More,More,More,yes,"1, 3",n/a
114,NewHaven_Museum,RA,,,audio,7.926078029,Green,Green,1,Because she has 3 people who told her,More,More,More,yes,3,n/a
115,NewHaven_Museum,RA,,,audio,7.403148528,Green,Green,1,Because more people think the hamster ran through the green door ,More,More,More,,,n/a
116,NewHaven_Museum,RA,,,video,7.871321013,Blue,Blue,1,Because this is greater (three) than one,More,More,More,yes,"1, 3",n/a
117,NewHaven_Museum,RA,,,video,7.739904175,Green,Green,1,"Because there are thre people who said they were going, and on the blue side one",Other,More,More,yes,"1, 3",n/a
118,NewHaven_Museum,RA,,,video,6.124572211,Green,Green,1,Because there's most of the students that they asked,More,More,More,,,n/a
119,TheChildLab_online,MS,,,audio,6.707734428,Green,Blue,0,"because, um, I, I like less, because, she has less, and if less people say they can then  maybe they can get a lot of information",Less,Less,Less,,,n/a
120,TheChildLab_online,AC,,,audio,6.874743326,Blue,Blue,1,because there's a lot of people,More,More,More,,,n/a
121,NewHaven_Museum,RA,Yes,DIDN'T COMPLETE STUDY,video,6.362765229,Blue,,,,N/A,N/A,N/A,,,"Ended study early because experimenter asked if child wanted to keep playing or stop, and child said they wanted to stop"
122,NewHaven_Museum,RA,,,NONE,4.654346338,Green,Blue,0,n/a,N/A,N/A,N/A,,,n/a
123,NewHaven_Museum,RA,,,audio,6.206707734,Blue,Blue,1,Because there's more children who saw it,More,More,More,,,n/a
124,NewHaven_Museum,RA,,,video,6.516084873,Green,Green,1,Because most people,More,More,More,,,n/a
125,NewHaven_Museum,RA,,,video,6.910335387,Blue,Blue,1,Because there's more people,More,More,More,,,n/a
126,NewHaven_Museum,RA,,,video,6.7816564,Green,Green,1,Because there's more people voting for it,More,More,More,,,n/a
